3b-swf-20110110-git	3b-swf-swc, 3b-swf
hunchentoot-cgi-20101107-git	hunchentoot-cgi
hunchentoot-vhost-20101107-git	hunchentoot-vhost
hyperobject-20101006-git	hyperobject-tests, hyperobject
ie3fp-20101006-http	ie3fp
ieee-floats-20101006-darcs	ieee-floats-tests, ieee-floats
imago-20101006-cvs	imago
incf-cl-20101006-git	incf-cl-test, incf-cl
inotify-20101207-git	inotify
iolib-0.7.3	iolib.trivial-sockets, iolib.syscalls, iolib.streams, iolib.sockets, iolib.pathnames, iolib.os, iolib.multiplex, iolib.examples, iolib.base, iolib-tests, iolib
irc-logger-20101006-git	irc-logger
ironclad_0.28	ironclad-tests, ironclad
iterate-20101006-darcs	iterate-tests, iterate-pg, iterate
jpl-queues-0.1	jpl-queues
js-v0.10.12-git	cl-js
jsown-20101006-git	jsown-tests, jsown
jwacs-20101006-darcs	jwacs-tests, jwacs
kmrcl-20101006-git	kmrcl-tests, kmrcl
l-math_0.3.2	l-math
latex-table-20101207-git	latex-table
levenshtein-1.0	levenshtein
lift-20101107-git	lift-documentation, lift
linedit-20101107-git	terminfo, linedit
lisp-magick-0.71	lisp-magick
lisp-on-lines-20101006-darcs	lisp-on-lines.test, lisp-on-lines-ucw, lisp-on-lines
lisp-unit-20101006-git	lisp-unit
lispbuilder-20110110-svn	lispbuilder-yacc, lispbuilder-windows, lispbuilder-sdl-vecto-examples, lispbuilder-sdl-vecto, lispbuilder-sdl-ttf-examples, lispbuilder-sdl-ttf-cffi, lispbuilder-sdl-ttf-binaries, lispbuilder-sdl-ttf, lispbuilder-sdl-mixer-examples, lispbuilder-sdl-mixer-cffi, lispbuilder-sdl-mixer-binaries, lispbuilder-sdl-mixer, lispbuilder-sdl-image-examples, lispbuilder-sdl-image-cffi, lispbuilder-sdl-image-binaries, lispbuilder-sdl-image, lispbuilder-sdl-gfx-examples, lispbuilder-sdl-gfx-cffi, lispbuilder-sdl-gfx-binaries, lispbuilder-sdl-gfx, lispbuilder-sdl-examples, lispbuilder-sdl-cl-vectors-examples, lispbuilder-sdl-cl-vectors, lispbuilder-sdl-cffi, lispbuilder-sdl-binaries, lispbuilder-sdl-base, lispbuilder-sdl-assets, lispbuilder-sdl, lispbuilder-regex, lispbuilder-opengl-examples, lispbuilder-opengl-1-1, lispbuilder-net-examples, lispbuilder-net-cffi, lispbuilder-net, lispbuilder-lexer, cocoahelper
lla-20101107-git	lla-unit-tests, lla
lml-20101006-git	lml-tests, lml
lml2-20101006-git	lml2-tests, lml2
local-time-20101006-darcs	local-time.test, local-time, cl-postgres+local-time
log5-20110110-git	log5
loopless-20101207-git	loopless
lredis-20110110-git	lredis
ltk-0.91	ltk-remote, ltk-mw, ltk
lw-compat-20101006-darcs	lw-compat
magicffi-20101006-git	magicffi-test, magicffi
manardb-20101207-git	manardb-test, manardb
mcclim-20101006-cvs	mcclim-truetype, mcclim-tree-with-cross-edges, mcclim-tiff-bitmaps, mcclim-png-bitmaps, mcclim-jpeg-bitmaps, mcclim-gif-bitmaps, mcclim-freetype-cffi, mcclim-freetype, mcclim, goatee-core, functional-geometry, esa-mcclim, esa, drei-tests, drei-mcclim, conditional-commands, clouseau, clim-postscript, clim-null, clim-looks, clim-listener, clim-lisp, clim-gtkairo, clim-examples, clim-core, clim-clx, clim-basic, clim, automaton
md5-20101006-git	md5
mel-base-20110110-git	mel-base
meta-20101006-git	meta
meta-sexp-0.1.6	meta-sexp
metabang-bind-20101006-git	metabang-bind
metacopy-20101006-darcs	metacopy-with-contextl, metacopy-test-with-contextl, metacopy-test, metacopy
metatilities-20101006-darcs	metatilities-test, metatilities
